iter	RMSE
0	1.089833672
1	1.051883184
2	1.015815211
3	0.9814295281
4	0.9536168414
5	0.9211163034
6	0.8883754611
7	0.8593556106
8	0.8326740049
9	0.8056901636
10	0.7782125829
11	0.754825906
12	0.733902875
13	0.7125882801
14	0.6897995874
15	0.6703310773
16	0.652302551
17	0.63385764
18	0.6161211321
19	0.5998922165
20	0.5845366003
21	0.568902399
22	0.5521570556
23	0.5374663964
24	0.5237158851
25	0.5119343703
26	0.4993436066
27	0.4893590405
28	0.4769379011
29	0.4673620334
30	0.4567190143
31	0.4459115899
32	0.4357725594
33	0.4272890397
34	0.4181344201
35	0.4102821676
36	0.4018387657
37	0.3940413227
38	0.3867161651
39	0.3808664978
40	0.3752636686
41	0.3693988813
42	0.3642102843
43	0.3581317604
44	0.3526499227
45	0.3474819702
46	0.3435120177
47	0.3395123216
48	0.3350856835
49	0.3311911614
50	0.3268700695
51	0.3226851726
52	0.3197229378
53	0.3166998829
54	0.3141556928
55	0.3107556843
56	0.3075940215
57	0.3043633702
58	0.3014220158
59	0.2987644669
60	0.2962668277
61	0.2935156681
62	0.2915351582
63	0.2890630067
64	0.2874233838
65	0.2855192674
66	0.2832774633
67	0.2813658177
68	0.2790947371
69	0.2770011106
70	0.2747929209
71	0.2735142972
72	0.2721363507
73	0.2705884993
74	0.2692929807
75	0.267965596
76	0.2666849189
77	0.2651052956
78	0.2636039595
79	0.2626882021
80	0.2615993079
81	0.2602773523
82	0.258987819
83	0.2577719881
84	0.2567781017
85	0.2557593172
86	0.2550105844
87	0.2541362879
88	0.2531256386
89	0.2521325933
90	0.2511164544
91	0.2503093369
92	0.2497302915
93	0.2490805038
94	0.2483129973
95	0.247695455
96	0.2466997278
97	0.2462186797
98	0.2456144088
99	0.2450526435
100	0.2443468499
101	0.2436070203
102	0.2430172946
103	0.2425208332
104	0.2417688024
105	0.2413170054
106	0.2409144832
107	0.2405228314
108	0.2399886475
109	0.239543354
110	0.238929218
111	0.2384699164
112	0.2381143224
113	0.2376063799
114	0.2372092226
115	0.2367239465
116	0.2361899083
117	0.2357002158
118	0.2353000064
119	0.2348198551
120	0.234318442
121	0.2338502749
122	0.2334755385
123	0.2331733736
124	0.2327268753
125	0.2324242646
126	0.2320497959
127	0.2314563702
128	0.231100471
129	0.2307379334
130	0.2301935195
131	0.2297633636
132	0.2294645934
133	0.2293031442
134	0.2290020867
135	0.2287521265
136	0.2284152041
137	0.2280711654
138	0.2276231886
139	0.2271313647
140	0.2268963386
